Unnamed: 0,ville_principale,Code,Libellé,loyer_m2,logements_vacants,med_revenu,jeunes,densite_pop,nouveaux_menages,beneficiaires_rsa,metropole,si_paris,temps_tgv_paris,dist_metropole,temps_trajet
138,Lille,59044,Baisieux,14,3.9,26930.0,8.8,595.06,14.2,27.0,0,0,60,71.77,52.16
139,Lille,59090,Bondues,14.2,3.4,34880.0,6.5,741.45,7.7,35.9,0,0,60,11.16,20.71
140,Lille,59098,Bousbecque,12.3,3.3,24840.0,7.5,757.34,7.5,42.5,0,0,60,21.78,27.89
141,Lille,59106,Bouvines,13.5,6.1,29690.0,4.9,279.63,10.0,10.8,0,0,60,13.43,22.3
142,Lille,59128,Capinghem,13.8,5.7,26300.0,12.0,1302.11,31.3,42.6,0,0,60,10.91,13.21
143,Lille,59133,Carnin,12.1,3.9,27100.0,5.2,467.83,8.4,7.4,0,0,60,27.57,28.12
144,Lille,59143,La Chapelle-d'Armentières,12.4,4.2,23360.0,7.8,846.5,14.5,60.3,0,0,60,18.45,22.45
145,Lille,59146,Chéreng,14,3.4,31250.0,7.0,714.52,7.3,13.3,0,0,60,13.92,22.2
146,Lille,59152,Comines,12.7,5.0,22310.0,8.1,791.94,8.1,77.3,0,0,60,17.9,33.77
147,Lille,59163,Croix,13.9,8.5,23360.0,9.4,4722.27,12.9,106.5,0,0,60,9.96,16.5
148,Lille,59173,Deûlémont,12.9,3.8,26320.0,7.8,183.74,7.6,20.7,0,0,60,16.69,28.02
149,Lille,59193,Emmerin,13,6.9,27020.0,5.9,623.06,5.7,31.4,0,0,60,7.2,15.4
150,Lille,59195,Englos,12.9,1.6,30440.0,6.0,438.57,8.4,12.6,0,0,60,9.8,13.81
151,Lille,59196,Ennetières-en-Weppes,13.9,4.6,31230.0,6.3,124.33,7.6,18.8,0,0,60,17.09,20.29
152,Lille,59201,Erquinghem-le-Sec,13.1,1.8,30070.0,7.6,334.44,9.6,12.7,0,0,60,12.28,15.37
153,Lille,59202,Erquinghem-Lys,13.1,3.7,23060.0,7.9,595.11,7.8,42.9,0,0,60,20.67,20.0
154,Lille,59208,Escobecques,13.9,2.7,37210.0,3.3,159.47,2.4,0.0,0,0,60,12.48,16.39
155,Lille,59220,Faches-Thumesnil,13,4.5,22280.0,7.7,3936.96,9.9,211.0,0,0,60,5.41,11.27
156,Lille,59247,Forest-sur-Marque,13.8,2.4,28160.0,7.1,1659.0,10.2,25.3,0,0,60,13.79,20.29
157,Lille,59250,Fournes-en-Weppes,13.4,4.3,29740.0,4.3,267.07,8.3,11.4,0,0,60,16.03,17.21
158,Lille,59252,Frelinghien,12.5,3.6,25080.0,7.0,228.41,8.4,30.7,0,0,60,14.43,25.56
159,Lille,59256,Fretin,12.9,6.6,26580.0,6.7,244.47,7.6,36.4,0,0,60,13.95,18.57
160,Lille,59257,Fromelles,13.1,5.7,29030.0,5.6,126.59,11.2,7.3,0,0,60,20.33,22.93
161,Lille,59275,Gruson,14,3.9,35560.0,8.5,399.03,7.1,6.6,0,0,60,15.43,25.82
162,Lille,59278,Hallennes-lez-Haubourdin,13.5,3.4,24380.0,7.9,1097.21,11.2,35.9,0,0,60,10.31,14.39
163,Lille,59279,Halluin,12.4,4.6,21590.0,8.9,1653.1,11.0,99.8,0,0,60,22.05,24.38
164,Lille,59281,Hantay,12.6,2.8,24950.0,6.2,599.52,7.0,47.4,0,0,60,,
