Unnamed..0,ville_principale,Code,Libellé,loyer_m2,logements_vacants,med_revenu,jeunes,densite_pop,nouveaux_menages,beneficiaires_rsa,metropole,si_paris,temps_tgv_paris,dist_metropole,temps_trajet,dist_metropole2,temps_transit
141,Lille,59106,Bouvines,13.5,6.1,29690.0,4.9,279.63,10.0,10.8,0,0,60,12.358,17.2833333333333,18.749,56.983333333333334
142,Lille,59128,Capinghem,13.8,5.7,26300.0,12.0,1302.11,31.3,42.6,0,0,60,11.862,15.5833333333333,10.551,54.46666666666667
143,Lille,59133,Carnin,12.1,3.9,27100.0,5.2,467.83,8.4,7.4,0,0,60,21.181,24.6833333333333,,
144,Lille,59143,La Chapelle-d'Armentières,12.4,4.2,23360.0,7.8,846.5,14.5,60.3,0,0,60,17.458,19.7666666666667,17.511,55.15
145,Lille,59146,Chéreng,14,3.4,31250.0,7.0,714.52,7.3,13.3,0,0,60,12.601,18.05,16.982,58.1
146,Lille,59152,Comines,12.7,5.0,22310.0,8.1,791.94,8.1,77.3,0,0,60,23.711,30.45,20.582,65.61666666666666
147,Lille,59163,Croix,13.9,8.5,23360.0,9.4,4722.27,12.9,106.5,0,0,60,11.226,18.3166666666667,11.29,34.0
148,Lille,59173,Deûlémont,12.9,3.8,26320.0,7.8,183.74,7.6,20.7,0,0,60,25.404,27.45,28.081,75.93333333333334
149,Lille,59193,Emmerin,13,6.9,27020.0,5.9,623.06,5.7,31.4,0,0,60,6.927,16.25,9.305,42.11666666666667
150,Lille,59195,Englos,12.9,1.6,30440.0,6.0,438.57,8.4,12.6,0,0,60,9.102,11.1833333333333,13.836,50.11666666666667
151,Lille,59196,Ennetières-en-Weppes,13.9,4.6,31230.0,6.3,124.33,7.6,18.8,0,0,60,11.036,14.4666666666667,14.89,47.86666666666667
152,Lille,59201,Erquinghem-le-Sec,13.1,1.8,30070.0,7.6,334.44,9.6,12.7,0,0,60,12.123,14.1833333333333,17.002,61.416666666666664
153,Lille,59202,Erquinghem-Lys,13.1,3.7,23060.0,7.9,595.11,7.8,42.9,0,0,60,21.179,19.8166666666667,29.941,87.15
154,Lille,59208,Escobecques,13.9,2.7,37210.0,3.3,159.47,2.4,0.0,0,0,60,12.303,14.7833333333333,16.158,61.016666666666666
155,Lille,59220,Faches-Thumesnil,13,4.5,22280.0,7.7,3936.96,9.9,211.0,0,0,60,3.271,9.56666666666667,3.736,20.166666666666668
156,Lille,59247,Forest-sur-Marque,13.8,2.4,28160.0,7.1,1659.0,10.2,25.3,0,0,60,13.388,16.1666666666667,20.43,65.13333333333334
157,Lille,59250,Fournes-en-Weppes,13.4,4.3,29740.0,4.3,267.07,8.3,11.4,0,0,60,15.767,16.55,21.64,71.06666666666666
